Model,Variable,Variable Used in Risk Score Formula?,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
Adult,MAGE_LAST_21_24,Yes,0.168,0.133,0.092,0.051,0.049
Adult,MAGE_LAST_25_29,Yes,0.155,0.12,0.079,0.038,0.035
Adult,MAGE_LAST_30_34,Yes,0.188,0.145,0.094,0.043,0.039
Adult,MAGE_LAST_35_39,Yes,0.238,0.186,0.125,0.063,0.059
Adult,MAGE_LAST_40_44,Yes,0.293,0.234,0.165,0.093,0.088
Adult,MAGE_LAST_45_49,Yes,0.348,0.282,0.203,0.122,0.116
Adult,MAGE_LAST_50_54,Yes,0.458,0.38,0.289,0.193,0.185
Adult,MAGE_LAST_55_59,Yes,0.514,0.427,0.326,0.218,0.21
Adult,MAGE_LAST_60_GT,Yes,0.576,0.475,0.361,0.236,0.226
Adult,FAGE_LAST_21_24,Yes,0.271,0.22,0.155,0.089,0.084
Adult,FAGE_LAST_25_29,Yes,0.306,0.246,0.174,0.099,0.093
Adult,FAGE_LAST_30_34,Yes,0.413,0.34,0.254,0.168,0.161
Adult,FAGE_LAST_35_39,Yes,0.494,0.412,0.319,0.227,0.22
Adult,FAGE_LAST_40_44,Yes,0.548,0.457,0.354,0.25,0.242
Adult,FAGE_LAST_45_49,Yes,0.556,0.46,0.352,0.239,0.23
Adult,FAGE_LAST_50_54,Yes,0.619,0.519,0.403,0.28,0.27
Adult,FAGE_LAST_55_59,Yes,0.604,0.501,0.382,0.253,0.242
Adult,FAGE_LAST_60_GT,Yes,0.618,0.508,0.381,0.241,0.229
Adult,HHS_HCC001,Yes,0.88,0.77,0.667,0.592,0.585
Adult,HHS_HCC002,Yes,7.992,7.804,7.68,7.723,7.729
Adult,HHS_HCC003,Yes,5.756,5.674,5.611,5.632,5.634
Adult,HHS_HCC004,Yes,4.392,4.189,4.057,3.986,3.98
Adult,HHS_HCC006,Yes,6.159,6.077,6.023,5.989,5.985
Adult,HHS_HCC008,Yes,21.782,21.35,21.018,21.062,21.066
Adult,HHS_HCC009,Yes,12.394,12.071,11.829,11.811,11.808
Adult,HHS_HCC010,Yes,5.567,5.35,5.183,5.112,5.104
Adult,HHS_HCC011,Yes,4.287,4.07,3.901,3.828,3.821
Adult,HHS_HCC012,Yes,2.635,2.478,2.353,2.281,2.273
Adult,HHS_HCC013,Yes,1.207,1.081,0.973,0.858,0.847
Adult,HHS_HCC018,Yes,4.435,4.242,4.11,4.119,4.119
Adult,HHS_HCC019,Yes,0,0,0,0,0
Adult,HHS_HCC020,Yes,0,0,0,0,0
Adult,HHS_HCC021,Yes,0,0,0,0,0
Adult,HHS_HCC023,Yes,11.426,11.418,11.404,11.482,11.49
Adult,HHS_HCC026,Yes,0,0,0,0,0
Adult,HHS_HCC027,Yes,0,0,0,0,0
Adult,HHS_HCC028,Yes,0,0,0,0,0
Adult,HHS_HCC029,Yes,0,0,0,0,0
Adult,HHS_HCC030,Yes,0,0,0,0,0
Adult,HHS_HCC034,Yes,10.515,10.418,10.353,10.335,10.332
Adult,HHS_HCC035,Yes,5.687,5.482,5.34,5.332,5.331
Adult,HHS_HCC036,Yes,1.995,1.869,1.781,1.727,1.721
Adult,HHS_HCC037_1,Yes,0.71,0.606,0.547,0.512,0.508
Adult,HHS_HCC037_2,Yes,0.7,0.582,0.521,0.473,0.468
Adult,HHS_HCC038,Yes,4.286,4.141,4.04,4.011,4.009
Adult,HHS_HCC041,Yes,28.205,28.158,28.12,28.16,28.16
Adult,HHS_HCC042,Yes,9.708,9.478,9.308,9.319,9.32
Adult,HHS_HCC045,Yes,5.5,5.265,5.107,5.095,5.094
Adult,HHS_HCC046,Yes,4.435,4.242,4.11,4.119,4.119
Adult,HHS_HCC047,Yes,2.239,2.081,1.968,1.893,1.885
Adult,HHS_HCC048,Yes,2.195,2.013,1.871,1.768,1.758
Adult,HHS_HCC054,Yes,0,0,0,0,0
Adult,HHS_HCC055,Yes,0,0,0,0,0
Adult,HHS_HCC056,Yes,3.317,3.132,2.982,2.926,2.92
Adult,HHS_HCC057,Yes,0.992,0.877,0.779,0.667,0.655
Adult,HHS_HCC061,Yes,0,0,0,0,0
Adult,HHS_HCC062,Yes,0,0,0,0,0
Adult,HHS_HCC063,Yes,1.417,1.267,1.157,1.073,1.067
Adult,HHS_HCC064,Yes,0,0,0,0,0
Adult,HHS_HCC066,Yes,52.749,52.45,52.205,52.208,52.208
Adult,HHS_HCC067,Yes,0,0,0,0,0
Adult,HHS_HCC068,Yes,0,0,0,0,0
Adult,HHS_HCC069,Yes,0,0,0,0,0
Adult,HHS_HCC070,Yes,0,0,0,0,0
Adult,HHS_HCC071,Yes,0,0,0,0,0
Adult,HHS_HCC073,Yes,0,0,0,0,0
Adult,HHS_HCC074,Yes,0,0,0,0,0
Adult,HHS_HCC075,Yes,2.651,2.567,2.498,2.46,2.456
Adult,HHS_HCC081,Yes,0,0,0,0,0
Adult,HHS_HCC082,Yes,0,0,0,0,0
Adult,HHS_HCC087,Yes,3.053,2.82,2.649,2.557,2.548
Adult,HHS_HCC088,Yes,1.622,1.47,1.35,1.231,1.219
Adult,HHS_HCC089,Yes,1.622,1.47,1.35,1.231,1.219
Adult,HHS_HCC090,Yes,1.123,1.009,0.901,0.78,0.769
Adult,HHS_HCC094,Yes,2.547,2.395,2.274,2.2,2.193
Adult,HHS_HCC096,Yes,3.903,3.807,3.73,3.671,3.665
Adult,HHS_HCC097,Yes,1.047,0.955,0.873,0.795,0.787
Adult,HHS_HCC102,Yes,1.123,1.009,0.901,0.78,0.769
Adult,HHS_HCC103,Yes,1.123,1.009,0.901,0.78,0.769
Adult,HHS_HCC106,Yes,0,0,0,0,0
Adult,HHS_HCC107,Yes,0,0,0,0,0
Adult,HHS_HCC108,Yes,0,0,0,0,0
Adult,HHS_HCC109,Yes,0,0,0,0,0
Adult,HHS_HCC110,Yes,5.204,5.001,4.85,4.81,4.805
Adult,HHS_HCC111,Yes,1.974,1.774,1.631,1.544,1.534
Adult,HHS_HCC112,Yes,0.296,0.192,0.12,0.072,0.071
Adult,HHS_HCC113,Yes,0.25,0.176,0.12,0.072,0.071
Adult,HHS_HCC114,Yes,0.351,0.297,0.262,0.238,0.233
Adult,HHS_HCC115,Yes,5.251,5.126,5.034,5.016,5.014
Adult,HHS_HCC117,Yes,0,0,0,0,0
Adult,HHS_HCC118,Yes,8.446,8.155,7.932,7.907,7.904
Adult,HHS_HCC119,Yes,0,0,0,0,0
Adult,HHS_HCC120,Yes,1.388,1.246,1.136,1.043,1.033
Adult,HHS_HCC121,Yes,5.916,5.809,5.718,5.691,5.689
Adult,HHS_HCC122,Yes,8.305,8.171,8.062,8.054,8.052
Adult,HHS_HCC125,Yes,26.609,26.573,26.538,26.62,26.627
Adult,HHS_HCC126,Yes,0,0,0,0,0
Adult,HHS_HCC127,Yes,0,0,0,0,0
Adult,HHS_HCC128,Yes,0,0,0,0,0
Adult,HHS_HCC129,Yes,0,0,0,0,0
Adult,HHS_HCC130,Yes,2.798,2.703,2.633,2.622,2.621
Adult,HHS_HCC131,Yes,8.07,7.782,7.571,7.658,7.666
Adult,HHS_HCC132,Yes,4.812,4.551,4.38,4.371,4.371
Adult,HHS_HCC135,Yes,5.46,5.343,5.256,5.225,5.223
Adult,HHS_HCC137,Yes,0,0,0,0,0
Adult,HHS_HCC138,Yes,0,0,0,0,0
Adult,HHS_HCC139,Yes,0,0,0,0,0
Adult,HHS_HCC142,Yes,2.464,2.333,2.231,2.157,2.149
Adult,HHS_HCC145,Yes,7.611,7.357,7.177,7.153,7.151
Adult,HHS_HCC146,Yes,2.161,2.009,1.915,1.893,1.891
Adult,HHS_HCC149,Yes,3.16,2.988,2.863,2.797,2.791
Adult,HHS_HCC150,Yes,4.502,4.407,4.34,4.387,4.392
Adult,HHS_HCC151,Yes,2.736,2.614,2.528,2.489,2.485
Adult,HHS_HCC153,Yes,9.046,8.966,8.906,8.995,9.003
Adult,HHS_HCC154,Yes,6.704,6.546,6.43,6.415,6.413
Adult,HHS_HCC156,Yes,3.344,3.2,3.094,3.038,3.032
Adult,HHS_HCC158,Yes,25.613,25.469,25.358,25.432,25.44
Adult,HHS_HCC159,Yes,14.182,13.898,13.669,13.675,13.675
Adult,HHS_HCC160,Yes,0,0,0,0,0
Adult,HHS_HCC161,Yes,0,0,0,0,0
Adult,HHS_HCC162,Yes,1.865,1.764,1.691,1.637,1.631
Adult,HHS_HCC163,Yes,6.261,6.215,6.18,6.186,6.186
Adult,HHS_HCC183,Yes,7.453,7.251,7.111,7.062,7.056
Adult,HHS_HCC184,Yes,29.901,29.673,29.491,29.637,29.65
Adult,HHS_HCC187,Yes,0,0,0,0,0
Adult,HHS_HCC188,Yes,0,0,0,0,0
Adult,HHS_HCC203,Yes,0,0,0,0,0
Adult,HHS_HCC204,Yes,0,0,0,0,0
Adult,HHS_HCC205,Yes,0,0,0,0,0
Adult,HHS_HCC207,Yes,0,0,0,0,0
Adult,HHS_HCC208,Yes,0,0,0,0,0
Adult,HHS_HCC209,Yes,0,0,0,0,0
Adult,HHS_HCC217,Yes,1.987,1.887,1.817,1.798,1.796
Adult,HHS_HCC226,Yes,8.801,8.587,8.429,8.458,8.461
Adult,HHS_HCC227,Yes,3.856,3.726,3.626,3.563,3.559
Adult,HHS_HCC242,Yes,0,0,0,0,0
Adult,HHS_HCC243,Yes,0,0,0,0,0
Adult,HHS_HCC244,Yes,0,0,0,0,0
Adult,HHS_HCC245,Yes,0,0,0,0,0
Adult,HHS_HCC246,Yes,0,0,0,0,0
Adult,HHS_HCC247,Yes,0,0,0,0,0
Adult,HHS_HCC248,Yes,0,0,0,0,0
Adult,HHS_HCC249,Yes,0,0,0,0,0
Adult,HHS_HCC251,Yes,24.309,24.308,24.303,24.331,24.333
Adult,HHS_HCC253,Yes,8.282,8.195,8.129,8.162,8.166
Adult,HHS_HCC254,Yes,3.475,3.36,3.279,3.303,3.305
Adult,G01,Yes,0.601,0.529,0.462,0.388,0.381
Adult,G02A,Yes,2.377,2.278,2.198,2.136,2.13
Adult,G03,Yes,5.501,5.327,5.195,5.202,5.202
Adult,G04,Yes,2.652,2.475,2.335,2.256,2.248
Adult,G06,Yes,12.457,12.329,12.232,12.231,12.231
Adult,G07,Yes,7.85,7.723,7.622,7.591,7.588
Adult,G08,Yes,5.2,5.076,4.985,4.982,4.982
Adult,G09,Yes,3.805,3.576,3.404,3.281,3.267
Adult,G10,Yes,9.98,9.845,9.744,9.727,9.725
Adult,G11,Yes,7.554,7.406,7.296,7.265,7.261
Adult,G12,Yes,2.063,1.921,1.819,1.72,1.708
Adult,G13,Yes,8.043,7.895,7.789,7.859,7.867
Adult,G14,Yes,28.436,28.234,28.087,28.136,28.141
Adult,G15,Yes,0.875,0.774,0.684,0.59,0.58
Adult,G16,Yes,1.318,1.262,1.224,1.233,1.234
Adult,G17,Yes,1.154,1.009,0.878,0.67,0.647
Adult,G18,Yes,3.324,2.909,2.687,2.413,2.383
Adult,INT_GROUP_M,Yes,1.452,1.544,1.598,1.724,1.735
Adult,INT_GROUP_H,Yes,7.698,7.901,8.038,8.182,8.196
Adult,ED_1,Yes,0.416,0.364,0.325,0.306,0.304
Adult,ED_2,Yes,0.381,0.332,0.293,0.275,0.273
Adult,ED_3,Yes,0.326,0.281,0.244,0.227,0.225
Adult,ED_4,Yes,0.278,0.24,0.205,0.189,0.188
Adult,ED_5,Yes,0.248,0.216,0.184,0.169,0.168
Adult,ED_6,Yes,0.207,0.18,0.153,0.138,0.137
Adult,ED_7,Yes,0.189,0.165,0.141,0.126,0.125
Adult,ED_8,Yes,0.136,0.119,0.102,0.091,0.091
Adult,ED_9,Yes,0.096,0.084,0.073,0.067,0.066
Adult,ED_10,Yes,0.07,0.065,0.06,0.057,0.057
Adult,ED_11,Yes,0.064,0.06,0.057,0.055,0.055
Adult,RXC_01,Yes,7.811,7.248,6.822,6.597,6.573
Adult,RXC_02,Yes,39.84,39.299,38.868,39.024,39.038
Adult,RXC_03,Yes,0.113,0.113,0.113,0.113,0.113
Adult,RXC_04,Yes,0.729,0.729,0.729,0.729,0.729
Adult,RXC_05,Yes,2.016,1.837,1.697,1.505,1.484
Adult,RXC_06,Yes,1.494,1.345,1.182,0.99,0.971
Adult,RXC_07,Yes,0.491,0.427,0.358,0.27,0.262
Adult,RXC_08,Yes,21.116,20.326,19.734,19.709,19.7
Adult,RXC_09,Yes,13.255,12.665,12.224,12.254,12.253
Adult,RXC_10,Yes,13.019,12.687,12.461,12.54,12.549
Adult,RXC_01_X_HCC001,Yes,2.202,2.317,2.419,2.774,2.81
Adult,RXC_02_X_HCC037_1_036_035_034,Yes,2.642,2.834,2.97,3.016,3.021
Adult,RXC_03_X_HCC142,Yes,0,0,0,0,0
Adult,RXC_04_X_HCC184_183_187_188,Yes,0,0,0,0,0
Adult,RXC_05_X_HCC048_041,Yes,-1.195,-1.098,-1,-0.891,-0.881
Adult,RXC_06_X_HCC018_019_020_021,Yes,0.421,0.395,0.455,0.532,0.537
Adult,RXC_07_X_HCC018_019_020_021,Yes,-0.2,-0.183,-0.152,-0.152,-0.154
Adult,RXC_08_X_HCC118,Yes,-5.52,-4.995,-4.611,-4.437,-4.415
Adult,RXC_09_X_HCC056_057_AND_048_041,Yes,-0.337,-0.352,-0.357,-0.383,-0.384
Adult,RXC_09_X_HCC056,Yes,-2.863,-2.634,-2.454,-2.325,-2.31
Adult,RXC_09_X_HCC057,Yes,-0.594,-0.443,-0.321,-0.175,-0.162
Adult,RXC_09_X_HCC048_041,Yes,1.125,1.388,1.561,1.761,1.784
Adult,RXC_10_X_HCC159_158,Yes,29.048,29.277,29.406,29.466,29.472
,,,,,,,
Child,MAGE_LAST_2_4,Yes,0.2,0.149,0.092,0.042,0.038
Child,MAGE_LAST_5_9,Yes,0.139,0.1,0.055,0.019,0.016
Child,MAGE_LAST_10_14,Yes,0.195,0.153,0.101,0.061,0.058
Child,MAGE_LAST_15_20,Yes,0.259,0.21,0.152,0.1,0.096
Child,FAGE_LAST_2_4,Yes,0.154,0.11,0.062,0.025,0.022
Child,FAGE_LAST_5_9,Yes,0.102,0.069,0.031,0.005,0.003
Child,FAGE_LAST_10_14,Yes,0.183,0.143,0.095,0.06,0.057
Child,FAGE_LAST_15_20,Yes,0.282,0.225,0.156,0.092,0.087
Child,HHS_HCC001,Yes,5.426,4.995,4.673,4.556,4.542
Child,HHS_HCC002,Yes,13.733,13.563,13.452,13.459,13.461
Child,HHS_HCC003,Yes,8.191,8.033,7.917,7.925,7.925
Child,HHS_HCC004,Yes,3.567,3.363,3.23,3.082,3.068
Child,HHS_HCC006,Yes,16.95,16.903,16.865,16.849,16.846
Child,HHS_HCC008,Yes,32.463,32.255,32.077,32.087,32.087
Child,HHS_HCC009,Yes,10.02,9.785,9.59,9.509,9.502
Child,HHS_HCC010,Yes,7.832,7.598,7.408,7.302,7.29
Child,HHS_HCC011,Yes,3.032,2.86,2.718,2.6,2.587
Child,HHS_HCC012,Yes,3.032,2.86,2.718,2.6,2.587
Child,HHS_HCC013,Yes,1.189,1.058,0.944,0.819,0.807
Child,HHS_HCC018,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC019,Yes,0,0,0,0,0
Child,HHS_HCC020,Yes,0,0,0,0,0
Child,HHS_HCC021,Yes,0,0,0,0,0
Child,HHS_HCC023,Yes,12.783,12.692,12.616,12.656,12.659
Child,HHS_HCC026,Yes,0,0,0,0,0
Child,HHS_HCC027,Yes,0,0,0,0,0
Child,HHS_HCC028,Yes,0,0,0,0,0
Child,HHS_HCC029,Yes,0,0,0,0,0
Child,HHS_HCC030,Yes,0,0,0,0,0
Child,HHS_HCC034,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC035,Yes,11.858,11.709,11.609,11.604,11.603
Child,HHS_HCC036,Yes,5.781,5.645,5.534,5.506,5.506
Child,HHS_HCC037_1,Yes,6.268,6.113,5.982,5.965,5.966
Child,HHS_HCC037_2,Yes,1.196,1.083,0.98,0.923,0.92
Child,HHS_HCC038,Yes,11.66,11.519,11.415,11.416,11.416
Child,HHS_HCC041,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC042,Yes,11.313,11.025,10.807,10.804,10.805
Child,HHS_HCC045,Yes,4.513,4.318,4.162,4.066,4.057
Child,HHS_HCC046,Yes,10.634,10.426,10.275,10.278,10.278
Child,HHS_HCC047,Yes,2.267,2.151,2.049,1.952,1.942
Child,HHS_HCC048,Yes,7.06,6.69,6.407,6.296,6.284
Child,HHS_HCC054,Yes,0,0,0,0,0
Child,HHS_HCC055,Yes,0,0,0,0,0
Child,HHS_HCC056,Yes,4.278,4.048,3.852,3.759,3.751
Child,HHS_HCC057,Yes,1.09,0.969,0.853,0.725,0.714
Child,HHS_HCC061,Yes,0,0,0,0,0
Child,HHS_HCC062,Yes,0,0,0,0,0
Child,HHS_HCC063,Yes,1.429,1.254,1.116,0.988,0.976
Child,HHS_HCC064,Yes,0,0,0,0,0
Child,HHS_HCC066,Yes,60.496,60.019,59.64,59.614,59.611
Child,HHS_HCC067,Yes,0,0,0,0,0
Child,HHS_HCC068,Yes,0,0,0,0,0
Child,HHS_HCC069,Yes,0,0,0,0,0
Child,HHS_HCC070,Yes,0,0,0,0,0
Child,HHS_HCC071,Yes,0,0,0,0,0
Child,HHS_HCC073,Yes,0,0,0,0,0
Child,HHS_HCC074,Yes,0,0,0,0,0
Child,HHS_HCC075,Yes,4.665,4.546,4.444,4.371,4.363
Child,HHS_HCC081,Yes,0,0,0,0,0
Child,HHS_HCC082,Yes,0,0,0,0,0
Child,HHS_HCC087,Yes,4.816,4.47,4.215,4.085,4.071
Child,HHS_HCC088,Yes,2.205,1.998,1.824,1.645,1.628
Child,HHS_HCC089,Yes,2.119,1.922,1.754,1.576,1.559
Child,HHS_HCC090,Yes,0.623,0.519,0.407,0.26,0.245
Child,HHS_HCC094,Yes,2.645,2.46,2.308,2.227,2.218
Child,HHS_HCC096,Yes,2.114,1.957,1.845,1.792,1.786
Child,HHS_HCC097,Yes,1.78,1.634,1.522,1.431,1.423
Child,HHS_HCC102,Yes,2.007,1.827,1.668,1.503,1.487
Child,HHS_HCC103,Yes,0.682,0.589,0.482,0.347,0.336
Child,HHS_HCC106,Yes,0,0,0,0,0
Child,HHS_HCC107,Yes,0,0,0,0,0
Child,HHS_HCC108,Yes,0,0,0,0,0
Child,HHS_HCC109,Yes,0,0,0,0,0
Child,HHS_HCC110,Yes,3.674,3.483,3.335,3.244,3.236
Child,HHS_HCC111,Yes,4.955,4.758,4.596,4.51,4.503
Child,HHS_HCC112,Yes,2.964,2.765,2.636,2.639,2.639
Child,HHS_HCC113,Yes,0.487,0.392,0.322,0.263,0.261
Child,HHS_HCC114,Yes,1.43,1.31,1.216,1.144,1.137
Child,HHS_HCC115,Yes,9.745,9.584,9.457,9.436,9.437
Child,HHS_HCC117,Yes,0,0,0,0,0
Child,HHS_HCC118,Yes,10.439,10.097,9.828,9.795,9.791
Child,HHS_HCC119,Yes,0,0,0,0,0
Child,HHS_HCC120,Yes,2.003,1.851,1.712,1.566,1.552
Child,HHS_HCC121,Yes,4.217,4.107,4.025,4.005,4.004
Child,HHS_HCC122,Yes,5.718,5.594,5.492,5.449,5.444
Child,HHS_HCC125,Yes,31.867,31.759,31.681,31.818,31.83
Child,HHS_HCC126,Yes,0,0,0,0,0
Child,HHS_HCC127,Yes,0,0,0,0,0
Child,HHS_HCC128,Yes,0,0,0,0,0
Child,HHS_HCC129,Yes,0,0,0,0,0
Child,HHS_HCC130,Yes,5.77,5.671,5.585,5.541,5.536
Child,HHS_HCC131,Yes,5.164,5.09,5.048,5.035,5.033
Child,HHS_HCC132,Yes,3.836,3.759,3.702,3.671,3.67
Child,HHS_HCC135,Yes,11.876,11.77,11.688,11.669,11.668
Child,HHS_HCC137,Yes,4.76,4.602,4.445,4.329,4.319
Child,HHS_HCC138,Yes,1.343,1.247,1.129,1.011,1.001
Child,HHS_HCC139,Yes,0.873,0.785,0.682,0.589,0.582
Child,HHS_HCC142,Yes,3.747,3.589,3.451,3.374,3.366
Child,HHS_HCC145,Yes,12.662,12.448,12.294,12.288,12.289
Child,HHS_HCC146,Yes,5.396,5.318,5.27,5.281,5.285
Child,HHS_HCC149,Yes,3.38,3.194,3.062,2.987,2.979
Child,HHS_HCC150,Yes,4.165,4.058,3.984,3.951,3.945
Child,HHS_HCC151,Yes,3.506,3.377,3.287,3.258,3.257
Child,HHS_HCC153,Yes,11.696,11.46,11.285,11.21,11.202
Child,HHS_HCC154,Yes,14.177,14.065,13.975,13.996,13.997
Child,HHS_HCC156,Yes,13.557,13.449,13.37,13.406,13.41
Child,HHS_HCC158,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC159,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC160,Yes,0,0,0,0,0
Child,HHS_HCC161,Yes,0,0,0,0,0
Child,HHS_HCC162,Yes,3.075,2.973,2.874,2.803,2.797
Child,HHS_HCC163,Yes,8.195,8.139,8.091,8.123,8.126
Child,HHS_HCC183,Yes,12.322,12.052,11.856,11.829,11.824
Child,HHS_HCC184,Yes,36.027,35.917,35.828,35.931,35.94
Child,HHS_HCC187,Yes,0,0,0,0,0
Child,HHS_HCC188,Yes,0,0,0,0,0
Child,HHS_HCC203,Yes,0,0,0,0,0
Child,HHS_HCC204,Yes,0,0,0,0,0
Child,HHS_HCC205,Yes,0,0,0,0,0
Child,HHS_HCC207,Yes,0,0,0,0,0
Child,HHS_HCC208,Yes,0,0,0,0,0
Child,HHS_HCC209,Yes,0,0,0,0,0
Child,HHS_HCC217,Yes,2.337,2.247,2.159,2.087,2.08
Child,HHS_HCC226,Yes,5.451,5.177,4.955,4.844,4.836
Child,HHS_HCC227,Yes,1.667,1.537,1.406,1.265,1.25
Child,HHS_HCC242,Yes,0,0,0,0,0
Child,HHS_HCC243,Yes,0,0,0,0,0
Child,HHS_HCC244,Yes,0,0,0,0,0
Child,HHS_HCC245,Yes,0,0,0,0,0
Child,HHS_HCC246,Yes,0,0,0,0,0
Child,HHS_HCC247,Yes,0,0,0,0,0
Child,HHS_HCC248,Yes,0,0,0,0,0
Child,HHS_HCC249,Yes,0,0,0,0,0
Child,HHS_HCC251,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC253,Yes,11.384,11.271,11.197,11.307,11.317
Child,HHS_HCC254,Yes,6.739,6.5,6.325,6.211,6.199
Child,G01,Yes,2.548,2.232,2.03,1.748,1.72
Child,G02,Yes,7.949,7.724,7.536,7.494,7.49
Child,G03,Yes,3.918,3.717,3.556,3.48,3.473
Child,G04,Yes,1.396,1.287,1.188,1.105,1.097
Child,G06,Yes,14.744,14.623,14.533,14.502,14.498
Child,G07,Yes,6.955,6.742,6.572,6.484,6.476
Child,G08,Yes,5.856,5.713,5.599,5.539,5.533
Child,G09,Yes,5.64,5.385,5.204,5.125,5.119
Child,G10,Yes,11.528,11.464,11.429,11.509,11.517
Child,G11,Yes,9.2,9.031,8.886,8.872,8.866
Child,G12,Yes,2.547,2.372,2.243,2.141,2.131
Child,G13,Yes,9.784,9.56,9.41,9.375,9.369
Child,G14,Yes,22.358,22.099,21.896,21.922,21.925
Child,G15,Yes,0.373,0.309,0.224,0.133,0.125
Child,G16,Yes,4.151,4.02,3.912,3.815,3.809
Child,G17,Yes,1.059,0.904,0.76,0.533,0.507
Child,G18,Yes,2.896,2.511,2.293,1.987,1.95
,,,,,,,
Infant,EXTREMELY_IMMATURE_X_SEVERITY5,Yes,253.763,252.422,251.308,251.304,251.306
Infant,EXTREMELY_IMMATURE_X_SEVERITY4,Yes,154.074,152.661,151.499,151.388,151.376
Infant,EXTREMELY_IMMATURE_X_SEVERITY3,Yes,33.799,32.769,31.902,31.653,31.634
Infant,EXTREMELY_IMMATURE_X_SEVERITY2,Yes,33.799,32.769,31.902,31.653,31.634
Infant,EXTREMELY_IMMATURE_X_SEVERITY1,Yes,33.799,32.769,31.902,31.653,31.634
Infant,IMMATURE_X_SEVERITY5,Yes,159.649,158.315,157.209,157.194,157.192
Infant,IMMATURE_X_SEVERITY4,Yes,72.444,71.099,69.985,69.913,69.903
Infant,IMMATURE_X_SEVERITY3,Yes,32.79,31.659,30.727,30.518,30.498
Infant,IMMATURE_X_SEVERITY2,Yes,24.326,23.239,22.347,22.078,22.051
Infant,IMMATURE_X_SEVERITY1,Yes,24.326,23.239,22.347,22.078,22.051
Infant,PREMATURE_MULTIPLES_X_SEVERITY5,Yes,115.889,114.606,113.56,113.467,113.459
Infant,PREMATURE_MULTIPLES_X_SEVERITY4,Yes,27.442,26.218,25.238,25.027,25.01
Infant,PREMATURE_MULTIPLES_X_SEVERITY3,Yes,14.207,13.249,12.477,12.039,11.996
Infant,PREMATURE_MULTIPLES_X_SEVERITY2,Yes,8,7.266,6.646,6.016,5.948
Infant,PREMATURE_MULTIPLES_X_SEVERITY1,Yes,5.319,4.787,4.243,3.649,3.598
Infant,TERM_X_SEVERITY5,Yes,91.532,90.403,89.465,89.276,89.26
Infant,TERM_X_SEVERITY4,Yes,14.97,14.05,13.323,12.838,12.796
Infant,TERM_X_SEVERITY3,Yes,5.857,5.299,4.767,4.15,4.091
Infant,TERM_X_SEVERITY2,Yes,3.573,3.147,2.666,1.994,1.935
Infant,TERM_X_SEVERITY1,Yes,1.548,1.323,0.917,0.45,0.425
Infant,AGE1_X_SEVERITY5,Yes,54.547,53.88,53.323,53.226,53.218
Infant,AGE1_X_SEVERITY4,Yes,9.642,9.158,8.757,8.501,8.478
Infant,AGE1_X_SEVERITY3,Yes,3.059,2.786,2.512,2.264,2.246
Infant,AGE1_X_SEVERITY2,Yes,1.96,1.747,1.508,1.246,1.226
Infant,AGE1_X_SEVERITY1,Yes,0.522,0.445,0.332,0.253,0.248
Infant,AGE0_MALE,Yes,0.624,0.581,0.558,0.499,0.492
Infant,AGE1_MALE,Yes,0.108,0.093,0.079,0.054,0.052